"filename", "language", "Python", "comment", "blank", "total"
"d:\Project\meteor\src\meteor.py", "Python", 41, 15, 17, 73
"d:\Project\meteor\src\meteor\__init__.py", "Python", 0, 0, 1, 1
"d:\Project\meteor\src\meteor\ast.py", "Python", 334, 117, 145, 596
"d:\Project\meteor\src\meteor\compiler\__init__.py", "Python", 0, 0, 1, 1
"d:\Project\meteor\src\meteor\compiler\base.py", "Python", 69, 8, 10, 87
"d:\Project\meteor\src\meteor\compiler\builtins.py", "Python", 3540, 779, 1154, 5473
"d:\Project\meteor\src\meteor\compiler\code_generator.py", "Python", 3277, 777, 644, 4698
"d:\Project\meteor\src\meteor\compiler\llvmlite_custom.py", "Python", 25, 4, 8, 37
"d:\Project\meteor\src\meteor\compiler\operations.py", "Python", 648, 104, 136, 888
"d:\Project\meteor\src\meteor\compiler\types.py", "Python", 181, 0, 81, 262
"d:\Project\meteor\src\meteor\grammar.py", "Python", 182, 7, 24, 213
"d:\Project\meteor\src\meteor\lexer.py", "Python", 280, 11, 57, 348
"d:\Project\meteor\src\meteor\module_resolver.py", "Python", 95, 81, 35, 211
"d:\Project\meteor\src\meteor\package_manager.py", "Python", 184, 52, 56, 292
"d:\Project\meteor\src\meteor\parser.py", "Python", 1115, 143, 169, 1427
"d:\Project\meteor\src\meteor\type_checker.py", "Python", 679, 116, 125, 920
"d:\Project\meteor\src\meteor\utils.py", "Python", 30, 1, 10, 41
"d:\Project\meteor\src\meteor\visitor.py", "Python", 266, 9, 61, 336
"Total", "-", 10946, 2224, 2734, 15904